"price","horsepower"
16500,111
16500,154
NA,102
NA,115
15250,NA
17710,110
18920,110
NA,140
22997,NA
16430,101
16925,101
20970,121
21105,121
NA,121
30760,NA
NA,182
36880,182
5151,48
6295,70
6575,70
NA,68
6377,68
NA,102
NA,68
6692,68
NA,68
8558,102
8921,88
12964,145
6479,58
6855,76
5399,NA
6529,76
NA,76
7295,76
NA,76
7895,86
9095,86
8845,86
10295,86
12945,101
10345,100
6785,78
7496,NA
7496,NA
11048,90
32250,176
NA,176
36000,262
5195,68
6095,68
6795,68
6695,68
NA,68
10945,101
NA,101
13645,101
15645,135
8845,84
8495,84
10595,84
10245,84
10795,64
11245,84
NA,120
18344,72
25552,123
NA,123
28176,123
31600,123
34184,NA
NA,155
40960,184
45400,184
16503,175
5389,NA
6189,NA
6669,68
7689,102
9959,116
8499,88
12629,145
14869,145
14489,145
6989,88
8189,88
9279,116
9279,116
NA,69
7099,55
6649,69
6849,69
7349,69
NA,69
7799,69
NA,69
7999,69
8249,69
8949,97
9549,97
13499,152
14399,152
13499,152
17199,160
19699,200
18399,NA
11900,97
13200,95
12440,97
13860,95
15580,NA
16900,95
16695,95
17075,95
16630,97
17950,NA
18150,142
5572,68
7957,102
6229,68
6692,68
7609,68
8921,88
12764,145
22018,143
32528,207
34028,207
37028,207
45043,288
9295,88
9895,90
11850,NA
12170,110
15040,110
NA,110
NA,160
18620,160
5118,69
7053,NA
7603,73
7126,82
NA,82
9960,94
9233,82
11259,111
7463,82
NA,94
8013,82
11694,111
5348,62
6338,62
6488,NA
6918,62
7898,62
8778,62
6938,70
7198,70
7898,56
NA,56
7738,70
8358,70
9258,70
8058,70
8238,70
9298,112
9538,112
8449,116
NA,116
NA,116
11199,116
11549,NA
17669,116
8948,92
NA,73
NA,92
10898,92
11248,92
16558,161
15998,161
NA,156
15750,156
7775,52
7975,85
7995,52
8195,85
8495,85
NA,68
9995,100
NA,90
9980,90
13295,110
13845,68
12290,88
12940,114
13415,114
15985,114
16515,114
NA,162
18950,162
16845,NA
19045,160
NA,134
22470,106
22625,NA
