"price","horsepower"
16500,111
16500,NA
13950,102
17450,115
15250,110
17710,110
18920,NA
23875,140
22997,160
16430,101
16925,101
20970,121
21105,121
24565,121
30760,182
41315,NA
36880,182
5151,48
6295,70
6575,70
5572,68
6377,68
7957,NA
6229,68
NA,68
7609,68
8558,102
8921,88
12964,145
6479,58
6855,76
5399,60
6529,NA
7129,76
7295,NA
7295,76
7895,86
9095,86
8845,86
10295,86
12945,101
10345,100
6785,78
7496,70
7496,70
11048,90
32250,NA
35550,176
36000,NA
5195,68
6095,68
6795,68
6695,68
7395,68
NA,101
11845,101
13645,101
15645,NA
8845,84
8495,84
10595,84
10245,NA
10795,64
11245,84
18280,120
NA,72
25552,123
28248,NA
28176,NA
31600,123
34184,155
35056,155
40960,NA
NA,184
16503,175
5389,68
6189,68
6669,68
7689,102
9959,116
8499,88
12629,145
14869,145
14489,145
6989,88
8189,NA
9279,116
9279,116
5499,69
7099,55
6649,69
6849,69
7349,69
7299,69
7799,69
7499,69
7999,69
8249,69
8949,97
9549,97
13499,152
14399,152
13499,152
17199,160
19699,NA
18399,160
11900,97
13200,95
12440,97
13860,95
15580,95
16900,95
16695,95
17075,95
16630,97
NA,95
18150,142
5572,NA
7957,102
6229,68
6692,68
7609,68
8921,88
NA,145
NA,143
NA,207
34028,NA
NA,207
45043,NA
9295,88
9895,90
11850,110
12170,NA
15040,110
15510,110
18150,160
18620,160
5118,69
NA,73
7603,73
7126,82
7775,82
9960,94
9233,82
11259,111
7463,82
10198,94
8013,82
11694,111
5348,62
6338,62
6488,62
6918,62
7898,62
8778,62
6938,70
7198,70
7898,NA
7788,56
7738,70
8358,70
9258,70
8058,70
8238,NA
9298,112
9538,112
NA,116
9639,116
9989,116
11199,116
11549,116
17669,116
NA,92
10698,73
9988,92
10898,92
11248,92
16558,NA
15998,161
NA,156
15750,156
7775,52
7975,85
7995,52
8195,85
8495,85
9495,68
NA,100
11595,90
9980,90
13295,110
13845,68
12290,88
NA,114
NA,114
15985,114
NA,114
NA,162
18950,162
16845,NA
19045,160
21485,134
22470,NA
NA,114
